Concentration,Temperature,ConversionRate,InletFlow,InletConc,InletTemp,CoolantTemp,NextConcentration,NextTemperature,NextConversionRate
0.6921,344.65,0.94,0.04,12.58,301.88,290.82,0.6895,344.65,0.95
0.6895,344.65,0.94,0.11,12.47,301.81,290.74,0.6879,344.64,0.94
0.6879,344.64,0.94,0.00,12.40,301.94,290.84,0.6849,344.64,0.94
0.6849,344.64,0.95,0.00,12.53,301.94,290.72,0.6820,344.64,0.95
0.6820,344.64,0.95,0.04,12.55,301.96,290.60,0.6795,344.64,0.95
0.6795,344.64,0.95,0.02,12.67,302.07,290.77,0.6769,344.64,0.95
0.6769,344.64,0.95,0.10,12.62,302.07,290.77,0.6752,344.63,0.95
0.6752,344.63,0.95,0.12,12.48,302.00,290.96,0.6737,344.63,0.95
0.6737,344.63,0.95,0.11,12.45,301.97,291.12,0.6721,344.62,0.95
0.6721,344.62,0.95,0.08,12.40,302.06,291.13,0.6702,344.62,0.95
0.6702,344.62,0.95,0.15,12.36,302.24,290.93,0.6690,344.61,0.95
0.6690,344.61,0.95,0.29,12.20,302.18,291.04,0.6696,344.60,0.95
0.6696,344.60,0.95,0.28,12.26,302.24,291.02,0.6699,344.59,0.95
0.6699,344.59,0.95,0.19,12.19,302.41,291.04,0.6692,344.58,0.95
0.6692,344.58,0.95,0.18,12.31,302.42,291.03,0.6685,344.57,0.95
0.6685,344.57,0.95,0.35,12.30,302.25,291.22,0.6697,344.56,0.95
0.6697,344.56,0.95,0.51,12.31,302.31,291.26,0.6728,344.54,0.95
0.6728,344.54,0.95,0.33,12.38,302.38,291.30,0.6738,344.52,0.95
0.6738,344.52,0.95,0.26,12.46,302.35,291.38,0.6740,344.51,0.95
